Sequence;Condition;Model;Run;APE RMSE;RPE RMSE;RPE RMSE - 1m;RPE RMSE - 10m;Loss of Tracking;Tracking rate in %;Total Frames;Tracked Frames;
FoMo_2025_03_10;Snow;ORB-SLAM3 Stereo/Inertial;1;1.890076;0.172112;1.514921;14.063747;0;99.96428571;5600;5598;
FoMo_2025_03_10;Snow;ORB-SLAM3 Stereo/Inertial;2;1.815976;0.172159;1.515028;14.074265;0;99.96428571;5600;5598;
FoMo_2025_03_10;Snow;ORB-SLAM3 Stereo/Inertial;3;2.234845;0.171986;1.511019;14.053647;0;99.96428571;5600;5598;
city_loop_3_train;Overcast;DM-VIO Stereo/Inertial;1;2.332323;1.262004;1.640118;13.082311;0;92.44548287;7704;7122;
city_loop_3_train;Overcast;DM-VIO Stereo/Inertial;2;1.985307;1.256861;1.643639;13.092366;0;92.44548287;7704;7122;
city_loop_3_train;Overcast;DM-VIO Stereo/Inertial;3;2.299465;1.265793;1.642113;12.978905;0;92.44548287;7704;7122;
city_loop_2_train;Reflections;DM-VIO Stereo/Inertial;1;5.261682;1.007134;1.277935;9.722172;0;99.7716895;5694;5681;
city_loop_2_train;Reflections;DM-VIO Stereo/Inertial;2;3.993121;1.001533;1.271911;9.774215;0;99.7716895;5694;5681;
city_loop_2_train;Reflections;DM-VIO Stereo/Inertial;3;4.154444;0.998198;1.273681;9.829733;0;99.7716895;5694;5681;
city_loop_1_train;Light rain;DM-VIO Stereo/Inertial;1;8.030834;1.854570;2.275788;13.381390;0;99.16542815;8747;8674;
city_loop_1_train;Light rain;DM-VIO Stereo/Inertial;2;9.283451;1.917658;2.345504;13.063870;0;99.16542815;8747;8674;
city_loop_1_train;Light rain;DM-VIO Stereo/Inertial;3;9.278591;1.908704;2.318752;13.170164;0;99.16542815;8747;8674;
office_loop_3_train;Overcast;DM-VIO Stereo/Inertial;1;1.447746;0.899741;1.408688;9.851323;0;96.09079445;6344;6096;
office_loop_3_train;Overcast;DM-VIO Stereo/Inertial;2;1.561189;0.890562;1.399292;9.885990;0;96.09079445;6344;6096;
office_loop_3_train;Overcast;DM-VIO Stereo/Inertial;3;1.455272;0.890560;1.392438;9.925168;0;96.09079445;6344;6096;
office_loop_1_train;Sun Flares;DM-VIO Stereo/Inertial;1;1.774830;0.913428;1.347474;9.806113;0;93.87678905;8035;7543;
office_loop_1_train;Sun Flares;DM-VIO Stereo/Inertial;2;1.809398;0.912411;1.358498;9.788939;0;93.87678905;8035;7543;
office_loop_1_train;Sun Flares;DM-VIO Stereo/Inertial;3;1.792868;0.911119;1.354531;9.776884;0;93.87678905;8035;7543;
office_loop_4_train;Harsh Shadows;DM-VIO Stereo/Inertial;1;2.593513;0.827068;1.462179;9.736843;0;98.61866275;6805;6711;
office_loop_4_train;Harsh Shadows;DM-VIO Stereo/Inertial;2;2.857722;0.829624;1.463261;9.717257;0;98.61866275;6805;6711;
office_loop_4_train;Harsh Shadows;DM-VIO Stereo/Inertial;3;2.320613;0.827567;1.458313;9.722723;0;98.61866275;6805;6711;
office_loop_5_train;Snow and wet street;DM-VIO Stereo/Inertial;1;2.929193;0.856704;1.410502;9.499283;0;98.28554089;6591;6478;
office_loop_5_train;Snow and wet street;DM-VIO Stereo/Inertial;2;2.711451;0.856497;1.408532;9.495455;0;98.28554089;6591;6478;
office_loop_5_train;Snow and wet street;DM-VIO Stereo/Inertial;3;3.013786;0.863642;1.410274;9.460558;0;98.28554089;6591;6478;
neighborhood_1_train;Overcast;DM-VIO Stereo/Inertial;1;0.996739;0.699264;1.307314;9.295422;0;98.96968792;6697;6628;
neighborhood_1_train;Overcast;DM-VIO Stereo/Inertial;2;1.109851;0.700241;1.306268;9.275775;0;98.96968792;6697;6628;
neighborhood_1_train;Overcast;DM-VIO Stereo/Inertial;3;1.027409;0.700565;1.317598;9.286269;0;98.96968792;6697;6628;
neighborhood_3_train;Rain;DM-VIO Stereo/Inertial;1;1.496546;0.665111;1.304847;9.290532;0;98.57210105;6373;6282;
neighborhood_3_train;Rain;DM-VIO Stereo/Inertial;2;1.441533;0.665320;1.298042;9.293245;0;98.57210105;6373;6282;
neighborhood_3_train;Rain;DM-VIO Stereo/Inertial;3;1.303255;0.662661;1.297200;9.318167;0;98.57210105;6373;6282;
neighborhood_5_train;Harsh Shadows;DM-VIO Stereo/Inertial;1;1.155666;0.693591;1.347574;9.401154;0;97.93073717;6959;6815;
neighborhood_5_train;Harsh Shadows;DM-VIO Stereo/Inertial;2;1.182190;0.688406;1.336601;9.424224;0;97.93073717;6959;6815;
neighborhood_5_train;Harsh Shadows;DM-VIO Stereo/Inertial;3;1.138428;0.688147;1.341245;9.435100;0;97.93073717;6959;6815;
neighborhood_6_train;Low contrast;DM-VIO Stereo/Inertial;1;1.445466;0.695034;1.279378;9.423999;0;98.33031863;7187;7067;
neighborhood_6_train;Low contrast;DM-VIO Stereo/Inertial;2;1.279144;0.701498;1.289537;9.451375;0;98.33031863;7187;7067;
neighborhood_6_train;Low contrast;DM-VIO Stereo/Inertial;3;1.280634;0.693253;1.285494;9.439481;0;98.33031863;7187;7067;
FoMo_2025_05_28;Sun;DM-VIO Stereo/Inertial;1;11.998880;0.293675;2.329247;17.794189;1;14.87743026;4732;704;
FoMo_2025_05_28;Sun;DM-VIO Stereo/Inertial;2;8.985113;0.313351;1.938886;16.595040;1;13.94759087;4732;660;
FoMo_2025_05_28;Sun;DM-VIO Stereo/Inertial;3;9.329487;0.299476;2.060424;18.529220;1;13.77852916;4732;652;
FoMo_2024_11_21;Overcast;DM-VIO Stereo/Inertial;1;18.208464;0.254533;2.967259;13.281232;1;16.38684855;5718;937;
FoMo_2024_11_21;Overcast;DM-VIO Stereo/Inertial;2;25.312179;0.775633;3.854081;13.455873;1;19.88457503;5718;1137;
FoMo_2024_11_21;Overcast;DM-VIO Stereo/Inertial;3;9.494478;0.251295;1.513226;12.831805;1;16.38684855;5718;937;
FoMo_2025_03_10;Snow;DM-VIO Stereo/Inertial;1;25.368790;0.314707;2.252714;18.134713;1;16.78571429;5600;940;
FoMo_2025_03_10;Snow;DM-VIO Stereo/Inertial;2;26.991077;0.309867;2.393741;14.204282;1;16.78571429;5600;940;
FoMo_2025_03_10;Snow;DM-VIO Stereo/Inertial;3;26.309772;0.351015;1.989096;15.385668;1;15.35714286;5600;860;
city_loop_3_train;Overcast;DM-VIO Stereo;1;59.513421;0.648110;2.545339;20.387984;0;92.44548287;7704;7122;
city_loop_3_train;Overcast;DM-VIO Stereo;2;51.721086;0.643715;2.025954;16.570425;0;92.44548287;7704;7122;
city_loop_3_train;Overcast;DM-VIO Stereo;3;62.891258;0.651505;3.568708;23.575366;0;92.44548287;7704;7122;
city_loop_2_train;Reflections;DM-VIO Stereo;1;221.490804;0.694384;1.832200;15.464513;0;99.7716895;5694;5681;
city_loop_2_train;Reflections;DM-VIO Stereo;2;233.581778;0.699101;1.939569;16.540220;0;99.7716895;5694;5681;
